"hazard","offers_before_rescue","strata"
0.00570483982216213,0,"donor_country-Austria:esp_donor-0"
0.012210389875673,1,"donor_country-Austria:esp_donor-0"
0.0196659433676656,2,"donor_country-Austria:esp_donor-0"
0.0220944488445272,3,"donor_country-Austria:esp_donor-0"
0.032298439993576,4,"donor_country-Austria:esp_donor-0"
0.0508255600832249,5,"donor_country-Austria:esp_donor-0"
0.0849888961395176,6,"donor_country-Austria:esp_donor-0"
0.134772561593056,7,"donor_country-Austria:esp_donor-0"
0.185511680842165,8,"donor_country-Austria:esp_donor-0"
0.20029963582593,9,"donor_country-Austria:esp_donor-0"
0.270127484151006,10,"donor_country-Austria:esp_donor-0"
0.270127484151006,11,"donor_country-Austria:esp_donor-0"
0.270127484151006,12,"donor_country-Austria:esp_donor-0"
0.270127484151006,13,"donor_country-Austria:esp_donor-0"
0.270127484151006,14,"donor_country-Austria:esp_donor-0"
0.270127484151006,15,"donor_country-Austria:esp_donor-0"
0.0110395153161529,0,"donor_country-Austria:esp_donor-1"
0.0142784826781932,1,"donor_country-Austria:esp_donor-1"
0.0182694781876541,2,"donor_country-Austria:esp_donor-1"
0.0242376447710907,3,"donor_country-Austria:esp_donor-1"
0.0404247211150337,4,"donor_country-Austria:esp_donor-1"
0.061720398413883,5,"donor_country-Austria:esp_donor-1"
0.101160790658591,6,"donor_country-Austria:esp_donor-1"
0.154888312926457,7,"donor_country-Austria:esp_donor-1"
0.1940350371932,8,"donor_country-Austria:esp_donor-1"
0.219264282106343,9,"donor_country-Austria:esp_donor-1"
0.25127070726606,10,"donor_country-Austria:esp_donor-1"
0.294099929821027,12,"donor_country-Austria:esp_donor-1"
0.294099929821027,13,"donor_country-Austria:esp_donor-1"
0.00507835955618134,0,"donor_country-Belgium:esp_donor-0"
0.0136655390834518,1,"donor_country-Belgium:esp_donor-0"
0.0228773506275107,2,"donor_country-Belgium:esp_donor-0"
0.0346232614072291,3,"donor_country-Belgium:esp_donor-0"
0.0527719487466146,4,"donor_country-Belgium:esp_donor-0"
0.0847000624465229,5,"donor_country-Belgium:esp_donor-0"
0.113264484862938,6,"donor_country-Belgium:esp_donor-0"
0.174064784840917,7,"donor_country-Belgium:esp_donor-0"
0.258699501835384,8,"donor_country-Belgium:esp_donor-0"
0.317694662030729,9,"donor_country-Belgium:esp_donor-0"
0.381027905642096,10,"donor_country-Belgium:esp_donor-0"
0.44627041277667,11,"donor_country-Belgium:esp_donor-0"
0.510994514368264,12,"donor_country-Belgium:esp_donor-0"
0.575549749783119,13,"donor_country-Belgium:esp_donor-0"
0.575549749783119,14,"donor_country-Belgium:esp_donor-0"
0.725916085272772,15,"donor_country-Belgium:esp_donor-0"
0.825935802661111,16,"donor_country-Belgium:esp_donor-0"
0.825935802661111,17,"donor_country-Belgium:esp_donor-0"
1.11546726174347,18,"donor_country-Belgium:esp_donor-0"
1.11546726174347,19,"donor_country-Belgium:esp_donor-0"
0.00377463178762844,0,"donor_country-Belgium:esp_donor-1"
0.00758772096191082,1,"donor_country-Belgium:esp_donor-1"
0.00966338516204362,2,"donor_country-Belgium:esp_donor-1"
0.0242866920798063,3,"donor_country-Belgium:esp_donor-1"
0.0413694491322383,4,"donor_country-Belgium:esp_donor-1"
0.0708810540887738,5,"donor_country-Belgium:esp_donor-1"
0.122387967251149,6,"donor_country-Belgium:esp_donor-1"
0.173394597087212,7,"donor_country-Belgium:esp_donor-1"
0.255329412002375,8,"donor_country-Belgium:esp_donor-1"
0.289276943529866,9,"donor_country-Belgium:esp_donor-1"
0.349396540283047,10,"donor_country-Belgium:esp_donor-1"
0.431992519074357,11,"donor_country-Belgium:esp_donor-1"
0.539197749674631,12,"donor_country-Belgium:esp_donor-1"
0.649917593482633,13,"donor_country-Belgium:esp_donor-1"
0.649917593482633,14,"donor_country-Belgium:esp_donor-1"
0.810646479999662,15,"donor_country-Belgium:esp_donor-1"
1.0442382493076,18,"donor_country-Belgium:esp_donor-1"
1.0442382493076,21,"donor_country-Belgium:esp_donor-1"
0.00809083165581953,0,"donor_country-Croatia:esp_donor-0"
0.0151466795469313,1,"donor_country-Croatia:esp_donor-0"
0.0228274060828045,2,"donor_country-Croatia:esp_donor-0"
0.0359175322721274,3,"donor_country-Croatia:esp_donor-0"
0.0602562138283869,4,"donor_country-Croatia:esp_donor-0"
0.0942056860419527,5,"donor_country-Croatia:esp_donor-0"
0.134920555296765,6,"donor_country-Croatia:esp_donor-0"
0.223359366849141,7,"donor_country-Croatia:esp_donor-0"
0.27900436536356,8,"donor_country-Croatia:esp_donor-0"
0.350086856438596,9,"donor_country-Croatia:esp_donor-0"
0.410845269691035,10,"donor_country-Croatia:esp_donor-0"
0.478303982040131,11,"donor_country-Croatia:esp_donor-0"
0.700872861500036,12,"donor_country-Croatia:esp_donor-0"
0.812869389077655,13,"donor_country-Croatia:esp_donor-0"
1.33191728010127,16,"donor_country-Croatia:esp_donor-0"
0.00618634577791184,0,"donor_country-Croatia:esp_donor-1"
0.0167832627231051,1,"donor_country-Croatia:esp_donor-1"
0.0259150794599849,2,"donor_country-Croatia:esp_donor-1"
0.0439451567831606,3,"donor_country-Croatia:esp_donor-1"
0.0693457076860821,4,"donor_country-Croatia:esp_donor-1"
0.135000728144926,5,"donor_country-Croatia:esp_donor-1"
0.188730691049485,6,"donor_country-Croatia:esp_donor-1"
0.241974275369904,7,"donor_country-Croatia:esp_donor-1"
0.288344900030685,8,"donor_country-Croatia:esp_donor-1"
0.323726503754822,9,"donor_country-Croatia:esp_donor-1"
0.323726503754822,10,"donor_country-Croatia:esp_donor-1"
0.368840274177061,11,"donor_country-Croatia:esp_donor-1"
0.425210128749434,12,"donor_country-Croatia:esp_donor-1"
0.425210128749434,13,"donor_country-Croatia:esp_donor-1"
0.515207328454119,14,"donor_country-Croatia:esp_donor-1"
0.579390986648548,15,"donor_country-Croatia:esp_donor-1"
0.684646640960812,16,"donor_country-Croatia:esp_donor-1"
0.684646640960812,17,"donor_country-Croatia:esp_donor-1"
0.875456804730026,19,"donor_country-Croatia:esp_donor-1"
0.875456804730026,21,"donor_country-Croatia:esp_donor-1"
1.4449001737098,22,"donor_country-Croatia:esp_donor-1"
0.00435864028813304,0,"donor_country-Germany:esp_donor-0"
0.0100029964504301,1,"donor_country-Germany:esp_donor-0"
0.0163701067623228,2,"donor_country-Germany:esp_donor-0"
0.0243744180603308,3,"donor_country-Germany:esp_donor-0"
0.0342937866008343,4,"donor_country-Germany:esp_donor-0"
0.0550151821976884,5,"donor_country-Germany:esp_donor-0"
0.0994372605345539,6,"donor_country-Germany:esp_donor-0"
0.138636069182343,7,"donor_country-Germany:esp_donor-0"
0.196917854406738,8,"donor_country-Germany:esp_donor-0"
0.252406692659336,9,"donor_country-Germany:esp_donor-0"
0.291120943434068,10,"donor_country-Germany:esp_donor-0"
0.366060505328958,11,"donor_country-Germany:esp_donor-0"
0.433357280464871,12,"donor_country-Germany:esp_donor-0"
0.507754908905541,13,"donor_country-Germany:esp_donor-0"
0.564780650341937,14,"donor_country-Germany:esp_donor-0"
0.564780650341937,15,"donor_country-Germany:esp_donor-0"
0.564780650341937,16,"donor_country-Germany:esp_donor-0"
0.564780650341937,23,"donor_country-Germany:esp_donor-0"
0.00524874802623794,0,"donor_country-Germany:esp_donor-1"
0.00924619534377697,1,"donor_country-Germany:esp_donor-1"
0.0131060999653557,2,"donor_country-Germany:esp_donor-1"
0.0211976116727638,3,"donor_country-Germany:esp_donor-1"
0.032118194552346,4,"donor_country-Germany:esp_donor-1"
0.0457160354279748,5,"donor_country-Germany:esp_donor-1"
0.0586786405097174,6,"donor_country-Germany:esp_donor-1"
0.0781662924891438,7,"donor_country-Germany:esp_donor-1"
0.0915037329427975,8,"donor_country-Germany:esp_donor-1"
0.114889410859652,9,"donor_country-Germany:esp_donor-1"
0.152402319573658,10,"donor_country-Germany:esp_donor-1"
0.164306384338828,11,"donor_country-Germany:esp_donor-1"
0.208817286798807,12,"donor_country-Germany:esp_donor-1"
0.354016513909588,13,"donor_country-Germany:esp_donor-1"
0.451264762632616,14,"donor_country-Germany:esp_donor-1"
0.451264762632616,15,"donor_country-Germany:esp_donor-1"
0.00527921910270494,0,"donor_country-Hungary:esp_donor-0"
0.00987614939609852,1,"donor_country-Hungary:esp_donor-0"
0.0165426814650855,2,"donor_country-Hungary:esp_donor-0"
0.0235569051686994,3,"donor_country-Hungary:esp_donor-0"
0.0299374705486319,4,"donor_country-Hungary:esp_donor-0"
0.0448277511350393,5,"donor_country-Hungary:esp_donor-0"
0.0682645597597998,6,"donor_country-Hungary:esp_donor-0"
0.0894096006511719,7,"donor_country-Hungary:esp_donor-0"
0.110692710171215,8,"donor_country-Hungary:esp_donor-0"
0.110692710171215,9,"donor_country-Hungary:esp_donor-0"
0.137235395530415,10,"donor_country-Hungary:esp_donor-0"
0.165672972030486,11,"donor_country-Hungary:esp_donor-0"
0.186331122347308,12,"donor_country-Hungary:esp_donor-0"
0.186331122347308,13,"donor_country-Hungary:esp_donor-0"
0.186331122347308,14,"donor_country-Hungary:esp_donor-0"
0.186331122347308,16,"donor_country-Hungary:esp_donor-0"
0.186331122347308,17,"donor_country-Hungary:esp_donor-0"
0.186331122347308,18,"donor_country-Hungary:esp_donor-0"
0.00787518232447891,0,"donor_country-Hungary:esp_donor-1"
0.0118675303639553,1,"donor_country-Hungary:esp_donor-1"
0.0329863361886121,2,"donor_country-Hungary:esp_donor-1"
0.0423054267851877,3,"donor_country-Hungary:esp_donor-1"
0.052990555791468,4,"donor_country-Hungary:esp_donor-1"
0.078069075362564,5,"donor_country-Hungary:esp_donor-1"
0.112017818797139,6,"donor_country-Hungary:esp_donor-1"
0.150186710827897,7,"donor_country-Hungary:esp_donor-1"
0.166605467099299,8,"donor_country-Hungary:esp_donor-1"
0.166605467099299,9,"donor_country-Hungary:esp_donor-1"
0.166605467099299,10,"donor_country-Hungary:esp_donor-1"
0.166605467099299,11,"donor_country-Hungary:esp_donor-1"
0.290614024774658,12,"donor_country-Hungary:esp_donor-1"
0.290614024774658,15,"donor_country-Hungary:esp_donor-1"
0.290614024774658,21,"donor_country-Hungary:esp_donor-1"
0.00251635899450267,0,"donor_country-Netherlands:esp_donor-0"
0.0140409909214355,1,"donor_country-Netherlands:esp_donor-0"
0.0235014463873087,2,"donor_country-Netherlands:esp_donor-0"
0.0320200535792545,3,"donor_country-Netherlands:esp_donor-0"
0.0515350117938822,4,"donor_country-Netherlands:esp_donor-0"
0.0805228901909894,5,"donor_country-Netherlands:esp_donor-0"
0.107498010538801,6,"donor_country-Netherlands:esp_donor-0"
0.158671271971355,7,"donor_country-Netherlands:esp_donor-0"
0.205737572966596,8,"donor_country-Netherlands:esp_donor-0"
0.25207704643809,9,"donor_country-Netherlands:esp_donor-0"
0.388174689483213,10,"donor_country-Netherlands:esp_donor-0"
0.506830678197931,11,"donor_country-Netherlands:esp_donor-0"
0.69966226590584,12,"donor_country-Netherlands:esp_donor-0"
1.00784122633587,16,"donor_country-Netherlands:esp_donor-0"
0.00799903298566387,0,"donor_country-Netherlands:esp_donor-1"
0.0162125800011245,1,"donor_country-Netherlands:esp_donor-1"
0.0330016212762958,2,"donor_country-Netherlands:esp_donor-1"
0.0413010326530866,3,"donor_country-Netherlands:esp_donor-1"
0.0503101677560568,4,"donor_country-Netherlands:esp_donor-1"
0.0548966750029566,5,"donor_country-Netherlands:esp_donor-1"
0.0954309920546937,6,"donor_country-Netherlands:esp_donor-1"
0.15995702786221,7,"donor_country-Netherlands:esp_donor-1"
0.182374909562716,8,"donor_country-Netherlands:esp_donor-1"
0.182374909562716,9,"donor_country-Netherlands:esp_donor-1"
0.331958351799036,10,"donor_country-Netherlands:esp_donor-1"
0.688663354480073,11,"donor_country-Netherlands:esp_donor-1"
0.0147555338663511,0,"donor_country-Slovenia:esp_donor-0"
0.0262345968142938,1,"donor_country-Slovenia:esp_donor-0"
0.0397238126444596,2,"donor_country-Slovenia:esp_donor-0"
0.0397238126444596,3,"donor_country-Slovenia:esp_donor-0"
0.0397238126444596,4,"donor_country-Slovenia:esp_donor-0"
0.0689091000115857,5,"donor_country-Slovenia:esp_donor-0"
0.0997383666172671,6,"donor_country-Slovenia:esp_donor-0"
0.135647577296329,7,"donor_country-Slovenia:esp_donor-0"
0.248207004598977,8,"donor_country-Slovenia:esp_donor-0"
0.248207004598977,9,"donor_country-Slovenia:esp_donor-0"
0.327203418836398,10,"donor_country-Slovenia:esp_donor-0"
0.327203418836398,11,"donor_country-Slovenia:esp_donor-0"
0.327203418836398,12,"donor_country-Slovenia:esp_donor-0"
0.954802434757384,14,"donor_country-Slovenia:esp_donor-0"
0.0402849285944412,0,"donor_country-Slovenia:esp_donor-1"
0.0559049351616558,1,"donor_country-Slovenia:esp_donor-1"
0.0559049351616558,2,"donor_country-Slovenia:esp_donor-1"
0.0655747766933102,3,"donor_country-Slovenia:esp_donor-1"
0.0655747766933102,4,"donor_country-Slovenia:esp_donor-1"
0.0780223753887901,6,"donor_country-Slovenia:esp_donor-1"
0.128146438638802,7,"donor_country-Slovenia:esp_donor-1"
0.148187685781903,8,"donor_country-Slovenia:esp_donor-1"
0.172406319204187,9,"donor_country-Slovenia:esp_donor-1"
0.237253234099522,10,"donor_country-Slovenia:esp_donor-1"
0.237253234099522,11,"donor_country-Slovenia:esp_donor-1"
0.237253234099522,13,"donor_country-Slovenia:esp_donor-1"
0.310726916132712,14,"donor_country-Slovenia:esp_donor-1"
0.409351705054919,15,"donor_country-Slovenia:esp_donor-1"
0.409351705054919,19,"donor_country-Slovenia:esp_donor-1"
