variable,variable_transformed,variable_transformation,level,coef
intercept,,,,5.22842250239229
graft_dcd,,,1,-0.364221545066059
donor_age,donor_age_under_18,under_18,,-0.0830725158782411
donor_age,donor_age_over_40,over_40,,-0.0248282978558919
donor_age,donor_age_over_65,over_65,,-0.0528604089143825
donor_age,donor_age_over_75,over_75,,-0.0028007609702113
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.284808951295311
donor_last_creat,donor_last_creat_over_1,over_1,,-0.639439246085067
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.688604972697404
donor_last_creat,donor_last_creat_over_3p5,over_3p5,,0.189920165961746
donor_diabetes,,,1,-0.249708368590912
donor_hypertension,,,1,-0.142024839537845
d_bloodgroup,,,AB,0.293677394156083
d_bloodgroup,,,B,0.136386728959996
d_bloodgroup,,,O,-0.0031828876732366
donor_malignancy,,,1,-0.734424877310822
graft_hbcab,,,1,-0.312219265036774
graft_hbsag,,,1,-1.08674385194002
graft_hcvab,,,1,-2.15016799807232
donor_carrest,,,1,-0.113900438839086
death_cause_group,,,CNS tumor,-0.136309260145637
death_cause_group,,,CVA,-0.0239621876994448
death_cause_group,,,Head trauma,0.142411935168999
death_cause_group,,,Other,-0.167284188866846
donor_drug_abuse,,,1,-0.818909648987997
driving_time,,,"",-0.0119824621559056
d_cmv,,,1,-0.0170023992941022
d_urine_protein,,,1,-0.0747286010872112
d_urine_protein,,,2,-0.172522887220934
d_urine_protein,,,3,-0.27015046001391
k_previous_center_rejections,,,1,-0.796074708521424
k_previous_center_rejections,,,2,-1.01051513211153
k_previous_center_rejections,,,3,-1.18999980057155
k_previous_center_rejections,,,4,-1.33626599290257
k_previous_center_rejections,,,5+,-1.8036418871621
patient_country,,,Austria:distance-L,-0.94356357178836
patient_country,,,Belgium:distance-L,-2.49442877491472
patient_country,,,Croatia:distance-L,-2.04600889274066
patient_country,,,Germany:distance-L,-1.10198794426594
patient_country,,,Hungary:distance-L,-2.45507967186178
patient_country,,,Netherlands:distance-L,-1.59331418145271
patient_country,,,Austria:distance-I,-1.49231262681984
patient_country,,,Belgium:distance-I,-2.2572719835901
patient_country,,,Croatia:distance-I,-1.41906737373716
patient_country,,,Germany:distance-I,-0.073760768993447
patient_country,,,Hungary:distance-I,-1.93710763165507
patient_country,,,Netherlands:distance-I,-0.13462842668576
patient_country,,,Austria:distance-N,-1.32902582109134
patient_country,,,Belgium:distance-N,-2.62523899358478
