variable,variable_transformed,variable_transformation,level,coef
intercept,,,,3.90399956556138
donor_age,donor_age_under_18,under_18,,-0.0712827263256554
donor_age,donor_age_over_40,over_40,,-0.0271696766525616
donor_age,donor_age_over_65,over_65,,-0.0665924393911903
donor_age,donor_age_over_75,over_75,,0.0497954183641666
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.185695126970361
donor_last_creat,donor_last_creat_over_1,over_1,,-0.85591988083386
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.711634002281481
donor_last_creat,donor_last_creat_over_3p5,over_3p5,,0.257281016099935
donor_diabetes,,,1,-0.268789317932331
donor_hypertension,,,1,-0.128196413607908
d_bloodgroup,,,AB,0.388131915449314
d_bloodgroup,,,B,0.12899361458017
d_bloodgroup,,,O,0.0190107643691253
donor_malignancy,,,1,-0.674462530551688
graft_hbcab,,,1,-0.246865142313001
graft_hbsag,,,1,0.324722435875031
graft_hcvab,,,1,-1.70401909312145
donor_carrest,,,1,-0.147012899514006
death_cause_group,,,CNS tumor,-0.521305853339143
death_cause_group,,,CVA,-0.0393646585600925
death_cause_group,,,Head trauma,0.166757154051432
death_cause_group,,,Other,-0.164654104450419
donor_drug_abuse,,,1,-0.956924123897139
driving_time,,,"",0.00440864906389902
d_cmv,,,1,0.00548698044251483
d_urine_protein,,,1,-0.0501920909331645
d_urine_protein,,,2,-0.157085361258597
d_urine_protein,,,3,-0.275279213943911
esp_donor,,,1,-0.233497382260398
k_previous_center_rejections,,,1,-0.383065451097111
k_previous_center_rejections,,,2,-0.24624949723242
k_previous_center_rejections,,,3,-0.174553500427431
k_previous_center_rejections,,,4,0.0588565468898957
k_previous_center_rejections,,,5,-0.00252662421886551
k_previous_center_rejections,,,6,0.197107064836104
k_previous_center_rejections,,,7,0.0995035274860062
k_previous_center_rejections,,,8+,0.231457255471489
patient_country,,,Austria:distance-L,-0.265983300940058
patient_country,,,Belgium:distance-L,-1.84856724134333
patient_country,,,Croatia:distance-L,-1.3255872281962
patient_country,,,Germany:distance-L,-0.746652363524337
patient_country,,,Hungary:distance-L,-1.90240772145871
patient_country,,,Netherlands:distance-L,-1.14498917784625
patient_country,,,Austria:distance-I,-0.615078750371076
patient_country,,,Belgium:distance-I,-1.6906108214118
patient_country,,,Croatia:distance-I,-0.914688109743138
patient_country,,,Germany:distance-I,0.285174135094434
patient_country,,,Hungary:distance-I,-1.47526737158465
patient_country,,,Netherlands:distance-I,-0.445342103170618
patient_country,,,Austria:distance-N,-0.935143532767984
patient_country,,,Belgium:distance-N,-1.88076777120063
patient_country,,,Austria:rescue-1,-1.445912434655
patient_country,,,Belgium:rescue-1,-2.40636975810616
patient_country,,,Croatia:rescue-1,-1.69276902658868
patient_country,,,Germany:rescue-1,-1.82065448546549
patient_country,,,Hungary:rescue-1,-1.67590477228866
patient_country,,,Netherlands:rescue-1,-2.17425946195722
patient_country,,,Austria:international_rescue-1,-0.473144164087278
patient_country,,,Belgium:international_rescue-1,0.0860358101296326
patient_country,,,Croatia:international_rescue-1,-0.401396988288998
patient_country,,,Germany:international_rescue-1,-0.00110170914185182
patient_country,,,Hungary:international_rescue-1,-0.228170340523865
patient_country,,,Netherlands:international_rescue-1,-0.0574839129493462
patient_country,,,Austria:graft_dcd-1,-0.670419080659015
patient_country,,,Belgium:graft_dcd-1,-0.295837057345432
patient_country,,,Netherlands:graft_dcd-1,-0.0397222903934273
patient_country,,,Austria:zero_mismatch-1,1.02415493434026
patient_country,,,Belgium:zero_mismatch-1,0.235015414151373
patient_country,,,Croatia:zero_mismatch-1,0.46215205617333
patient_country,,,Germany:zero_mismatch-1,0.664539974037198
patient_country,,,Hungary:zero_mismatch-1,0.494151849049789
patient_country,,,Netherlands:zero_mismatch-1,0.692327294736423
patient_country,,,Belgium:esp_donor-1,0.0079233941853302
patient_country,,,Croatia:esp_donor-1,0.0257230963358468
patient_country,,,Germany:esp_donor-1,-0.0976362562765708
patient_country,,,Hungary:esp_donor-1,-0.416272359180748
patient_country,,,Netherlands:esp_donor-1,0.141303630684698
