variable,variable_transformed,variable_transformation,level,coef
intercept,,,,4.10853713696159
patient_country,,,Belgium,-0.765956182382883
patient_country,,,Croatia,-0.0303029885778656
patient_country,,,Germany,0.685116108359781
patient_country,,,Hungary,-0.990771913454623
patient_country,,,Netherlands,0.265731736105111
patient_country,,,Slovenia,1.52324432860141
graft_dcd,,,1,-0.482044680632198
donor_country,,,Belgium,-0.484067713023664
donor_country,,,Croatia,-0.655273383794402
donor_country,,,Germany,-0.371475249545539
donor_country,,,Hungary,-0.45000851991516
donor_country,,,Netherlands,-0.517306264799046
donor_country,,,Slovenia,-0.571112569518679
donor_age,donor_age_under_18,under_18,,-0.0861821646901157
donor_age,donor_age_over_40,over_40,,-0.0302556009812243
donor_age,donor_age_over_65,over_65,,-0.0489427274530743
donor_age,donor_age_over_75,over_75,,-0.0192346783602223
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.397232513227184
donor_last_creat,donor_last_creat_over_1,over_1,,-0.781066227118575
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.891665801160202
donor_last_creat,donor_last_creat_over_3p5,over_3p5,,0.23359363261142
donor_diabetes,,,1,-0.306356139140246
donor_hypertension,,,1,-0.176270171867639
d_bloodgroup,,,AB,0.357059267380262
d_bloodgroup,,,B,0.1574261777497
d_bloodgroup,,,O,-0.0300527307046622
donor_malignancy,,,1,-0.732359062591244
graft_hbcab,,,1,-0.292127867530388
graft_hbsag,,,1,-1.18357548316576
graft_hcvab,,,1,-2.0786851496403
donor_carrest,,,1,-0.140350366971539
death_cause_group,,,CNS tumor,-0.240985347563721
death_cause_group,,,CVA,0.011691126525442
death_cause_group,,,Head trauma,0.195233393279428
death_cause_group,,,Other,-0.155782447529252
donor_drug_abuse,,,1,-0.925049849300105
match_abroad,,,1,0.335708234250393
