variable,variable_transformed,variable_transformation,level,coef
intercept,,,,-11.0613497489317
donor_age,donor_age_under_16,under_16,,1.22722677330065
donor_age,donor_age_over_50,over_50,,-0.115635610597094
donor_age,,,"",0.18644890656499
donor_age,donor_age_over_65,over_65,,0.0999053826135148
donor_age,donor_age_over_75,over_75,,0.0814349368857165
r_match_age,,,"",0.00311590534908458
r_match_age,r_match_age_under_8,under_8,,-0.359079966388522
r_match_age,r_match_age_under_16,under_16,,-0.43102773136515
r_match_age,r_match_age_under_20,under_20,,0.264209620904813
r_match_age,r_match_age_over_75,over_75,,-0.221604276969688
patient_country,,,Belgium,-16.5350634193435
patient_country,,,Croatia,-4.00966329665637
patient_country,,,Germany,-2.76749382541744
patient_country,,,Hungary,-2.16573724470296
patient_country,,,Netherlands,-0.637893561809818
patient_country,,,Slovenia,-1.2819644107409
acceptance_reason,,,T1:donor_age_75p-0,-3.47090466843496
acceptance_reason,,,T3:donor_age_75p-0,-0.856390205450347
acceptance_reason,,,T1:donor_age_75p-1,-3.82875292279199
