variable,variable_transformed,variable_transformation,level,coef
intercept,,,,3.90433703327046
retransplant,,,1,-0.231574917885186
vpra_percent,,,"",-0.0115040815054419
vpra_percent,vpra_percent_over_25,over_25,,0.00882743443912933
vpra_percent,vpra_percent_over_50,over_50,,0.00855277924959803
vpra_percent,vpra_percent_over_85,over_85,,-0.0239666856089181
r_match_age,,,"",-0.0138950069756536
r_match_age,r_match_age_under_25,under_25,,-0.06405447996081
r_match_age,r_match_age_over_50,over_50,,-0.00590416155489172
r_match_age,r_match_age_over_65,over_65,,0.0173614563889179
d_bloodgroup,,,AB,0.159312256629465
d_bloodgroup,,,B,0.186208689131058
d_bloodgroup,,,O,0.103264666980282
donor_country,,,Belgium,0.100107660611867
donor_country,,,Croatia,-0.0853133090526357
donor_country,,,Germany,-0.147322376697267
donor_country,,,Hungary,-0.204221139702881
donor_country,,,Netherlands,-0.0255564181047552
donor_country,,,Slovenia,-0.0792702374890035
donor_malignancy,,,1,-0.554875468908219
donor_diabetes,,,1,-0.523445616446109
donor_hypertension,,,1,-0.138052386928955
donor_age,donor_age_under_20,under_20,,-0.113952551705164
donor_age,,,"",-0.0627384576725495
donor_age,donor_age_over_65,over_65,,-0.033177411329322
death_cause_group,,,CNS tumor,-0.795076908439883
death_cause_group,,,CVA,0.124529730147434
death_cause_group,,,Head trauma,0.246258786339846
death_cause_group,,,Other,0.0519254240210586
donor_drug_abuse,,,1,-0.184115454787401
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.270883955763607
donor_last_creat,donor_last_creat_over_1,over_1,,-0.702851484738087
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.280812973272391
donor_last_creat,donor_last_creat_over_3,over_3,,0.555911471077159
graft_dcd,,,1,-0.240130718311237
zero_mismatch,,,1,0.289722509440553
mmb_hla_a,,,1,-0.127282678232629
mmb_hla_a,,,2,-0.261439882036969
mmb_hla_b,,,1,-0.0796713657070891
mmb_hla_b,,,2,-0.209756801152146
mms_hla_dr,,,1,-0.21337554887089
mms_hla_dr,,,2,-0.274983717631691
years_on_dial,,,"",-0.0384523781960756
on_dialysis,,,"",0.0589685854619242
patient_is_hu,,,1,-0.581021595212293
graft_hbsag,,,1,-0.574169089342568
graft_hcvab,,,1,-1.82900580625591
graft_hbcab,,,1,-0.350535012723617
donor_smoking,,,1,-0.111898276990042
driving_time,,,"",-0.0332666132642534
driving_time,driving_time_over_5,over_5,,0.0133914325861696
driving_time,driving_time_over_10,over_10,,-0.0497954277757055
d_cmv,,,1,-0.0482729350816377
d_urine_protein,,,1,-0.0828051677124488
d_urine_protein,,,2,-0.146252748572809
d_urine_protein,,,3,-0.376091362301628
patient_country,,,Austria:distance-L,0.191161086065537
patient_country,,,Belgium:distance-L,-1.20412862599425
patient_country,,,Croatia:distance-L,-0.74407853678262
patient_country,,,Germany:distance-L,0.288657190826868
patient_country,,,Hungary:distance-L,-1.13980943746983
patient_country,,,Netherlands:distance-L,-0.373515425932286
patient_country,,,Slovenia:distance-L,0.606929638557974
patient_country,,,Austria:distance-I,-0.864001540224812
patient_country,,,Belgium:distance-I,-2.50288095346727
patient_country,,,Croatia:distance-I,-1.53761325634157
patient_country,,,Germany:distance-I,-0.785687608252377
patient_country,,,Hungary:distance-I,-2.3356264627517
patient_country,,,Netherlands:distance-I,-1.08412548585695
patient_country,,,Slovenia:distance-I,-0.554745339711669
patient_country,,,Austria:distance-N,-0.151495897539338
patient_country,,,Belgium:distance-N,-1.9402103598044
retransplant,,,1:mms_hla_dr-1,-0.00282334139702999
retransplant,,,1:mms_hla_dr-2,-0.303852992975013
retransplant,,,1:mmb_hla_b-1,-0.0426729613602167
retransplant,,,1:mmb_hla_b-2,0.212188152793056
vpra_percent,,,:mms_hla_dr-1,-0.00196576339091937
vpra_percent,,,:mms_hla_dr-2,-0.0111647031610017
vpra_percent,,,:mmb_hla_b-1,-0.00317938174889882
vpra_percent,,,:mmb_hla_b-2,-0.00723987814326238
r_match_age,,,:donor_age_group-18_to_34,0.0153710278564991
r_match_age,,,:donor_age_group-35_to_49,0.0313219379516262
r_match_age,,,:donor_age_group-50_to_64,0.0383675039361113
r_match_age,,,:donor_age_group-65p,0.0420326583613314
graft_dcd,,,0:match_abroad-1,0.486470870591394
zero_mismatch,,,1:match_abroad-1,0.277183413620027
