variable,variable_transformed,variable_transformation,level,coef
intercept,,,,15.110028883182
retransplant,,,1,-0.193206593366556
vpra_percent,,,"",-0.0216253270026171
vpra_percent,vpra_percent_over_25,over_25,,-0.0067014689344746
vpra_percent,vpra_percent_over_50,over_50,,0.00532503381664154
vpra_percent,vpra_percent_over_85,over_85,,-0.0686582127330124
r_match_age,,,"",-0.0956681597442908
r_match_age,r_match_age_under_75,under_75,,-0.133348161634106
r_match_age,r_match_age_over_80,over_80,,0.270693210724784
d_bloodgroup,,,AB,0.861192252639606
d_bloodgroup,,,B,0.227544316447331
d_bloodgroup,,,O,0.0469874314441363
donor_country,,,Belgium,-1.46092609845963
donor_country,,,Croatia,-0.0701722777662047
donor_country,,,Germany,-0.551196957014439
donor_country,,,Hungary,-1.9523393713884
donor_country,,,Netherlands,-1.4727359396478
donor_country,,,Slovenia,1.3274801902835
donor_malignancy,,,1,0.269284370407158
donor_diabetes,,,1,-0.386340552447984
donor_hypertension,,,1,0.0173271779982111
donor_age,,,"",-0.0834301328397852
death_cause_group,,,CNS tumor,-0.649765397936418
death_cause_group,,,CVA,0.218797641233715
death_cause_group,,,Head trauma,0.261147592699543
death_cause_group,,,Other,0.220883189174772
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.0529690475492979
donor_last_creat,donor_last_creat_over_1,over_1,,-0.756057800585349
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.219587209833989
donor_last_creat,donor_last_creat_over_3,over_3,,0.890255561137039
graft_dcd,,,1,0.121800500585091
zero_mismatch,,,1,0.180154107454629
mms_hla_dr,,,1,-0.302338718933765
mms_hla_dr,,,2,-0.437171419369701
years_on_dial,,,"",-0.0746690564303224
on_dialysis,,,"",-0.238797778120792
graft_hbcab,,,1,-0.209834443157736
donor_smoking,,,1,-0.127344728417725
d_cmv,,,1,0.00222962975953817
d_urine_protein,,,1,0.000435058180768255
d_urine_protein,,,2,-0.109912745416337
d_urine_protein,,,3,-0.106278979730067
