variable,variable_transformed,variable_transformation,level,coef
intercept,,,,3.30183623139826
retransplant,,,1,-0.193194139311433
vpra_percent,,,"",-0.0155358657959499
vpra_percent,vpra_percent_over_25,over_25,,0.0130258145493976
vpra_percent,vpra_percent_over_50,over_50,,0.00695139187725851
vpra_percent,vpra_percent_over_85,over_85,,-0.00788377213936576
r_match_age,,,"",-0.0115934342601781
r_match_age,r_match_age_under_25,under_25,,-0.0537488915634687
r_match_age,r_match_age_over_50,over_50,,-0.0160799228731319
r_match_age,r_match_age_over_65,over_65,,0.0103941229676271
d_bloodgroup,,,AB,0.273731794041785
d_bloodgroup,,,B,0.184927651775056
d_bloodgroup,,,O,0.0766520965601421
donor_country,,,Belgium,0.108310177871083
donor_country,,,Croatia,0.0416561062314667
donor_country,,,Germany,-0.130226911100521
donor_country,,,Hungary,-0.200927270499566
donor_country,,,Netherlands,-0.0307933651273739
donor_country,,,Slovenia,0.0332329100806503
donor_malignancy,,,1,-0.819492310280867
donor_diabetes,,,1,-0.640121050948959
donor_hypertension,,,1,-0.173177151148638
donor_age,donor_age_under_20,under_20,,-0.0886641673764535
donor_age,,,"",-0.0533639225893625
donor_age,donor_age_over_65,over_65,,-0.0766649108436595
death_cause_group,,,CNS tumor,-0.702871363430794
death_cause_group,,,CVA,0.132387009591991
death_cause_group,,,Head trauma,0.269844239575753
death_cause_group,,,Other,0.0703031602173768
donor_drug_abuse,,,1,-0.189846556589372
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.263773133191477
donor_last_creat,donor_last_creat_over_1,over_1,,-0.832466614830922
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.388593390450032
donor_last_creat,donor_last_creat_over_3,over_3,,0.529505103292931
graft_dcd,,,1,-0.290554902639724
zero_mismatch,,,1,0.432436523890478
mmb_hla_a,,,1,-0.161211320597553
mmb_hla_a,,,2,-0.435530679553638
mmb_hla_b,,,1,-0.108742259567604
mmb_hla_b,,,2,-0.396054216263238
mms_hla_dr,,,1,-0.207165839719621
mms_hla_dr,,,2,-0.469240501219925
years_on_dial,,,"",-0.015665399594439
on_dialysis,,,"",0.0473006499322394
patient_is_hu,,,1,-0.371276053187471
graft_hbsag,,,1,-0.366942767352811
graft_hcvab,,,1,-1.62326531110038
graft_hbcab,,,1,-0.36091342968908
donor_smoking,,,1,-0.115336688247613
driving_time,,,"",-0.0351915423227469
driving_time,driving_time_over_5,over_5,,0.0260611978517847
driving_time,driving_time_over_10,over_10,,-0.0459275801698055
d_cmv,,,1,-0.060543576436728
d_urine_protein,,,1,-0.111470629726791
d_urine_protein,,,2,-0.153713899668139
d_urine_protein,,,3,-0.42094849404816
patient_country,,,Austria:distance-L,0.381692713456474
patient_country,,,Belgium:distance-L,-0.907876965647509
patient_country,,,Croatia:distance-L,-0.534360629411468
patient_country,,,Germany:distance-L,0.350301635977709
patient_country,,,Hungary:distance-L,-0.917328029235107
patient_country,,,Netherlands:distance-L,-0.119138255742208
patient_country,,,Slovenia:distance-L,0.670522630208742
patient_country,,,Austria:distance-I,-0.736804164499221
patient_country,,,Belgium:distance-I,-2.22371411701272
patient_country,,,Croatia:distance-I,-1.27747962714827
patient_country,,,Germany:distance-I,-0.698247820497497
patient_country,,,Hungary:distance-I,-2.1909348703857
patient_country,,,Netherlands:distance-I,-0.819305718727923
patient_country,,,Slovenia:distance-I,-0.332222599038427
patient_country,,,Austria:distance-N,-0.334688314983526
patient_country,,,Belgium:distance-N,-1.60672712918036
patient_country,,,Austria:esp_donor-1,-2.63089712110305
patient_country,,,Belgium:esp_donor-1,-5.56848441723978
patient_country,,,Croatia:esp_donor-1,-3.75377528401283
patient_country,,,Germany:esp_donor-1,-3.26054294272473
patient_country,,,Hungary:esp_donor-1,-3.11678434323622
patient_country,,,Netherlands:esp_donor-1,-3.21357679449438
patient_country,,,Slovenia:esp_donor-1,-3.17536967345965
patient_country,,,Austria:nonlocal_esp_donor-1,0.198773958912634
patient_country,,,Belgium:nonlocal_esp_donor-1,1.16065995634871
patient_country,,,Croatia:nonlocal_esp_donor-1,0.212361923806692
patient_country,,,Germany:nonlocal_esp_donor-1,0.715758852043613
patient_country,,,Hungary:nonlocal_esp_donor-1,0.0545896813590946
patient_country,,,Netherlands:nonlocal_esp_donor-1,0.0480525221616046
patient_country,,,Slovenia:nonlocal_esp_donor-1,0.571019061775337
retransplant,,,1:mms_hla_dr-1,-0.0797505006497285
retransplant,,,1:mms_hla_dr-2,-0.0982095515141124
retransplant,,,1:mmb_hla_b-1,0.0285423253155432
retransplant,,,1:mmb_hla_b-2,0.193339535396059
vpra_percent,,,:mms_hla_dr-1,-0.00108452134269613
vpra_percent,,,:mms_hla_dr-2,-0.00585178975890326
vpra_percent,,,:mmb_hla_b-1,-0.00242940549891554
vpra_percent,,,:mmb_hla_b-2,-0.00304970652037342
r_match_age,,,:donor_age_group-18_to_34,0.0166169587338738
r_match_age,,,:donor_age_group-35_to_49,0.0300012248170947
r_match_age,,,:donor_age_group-50_to_64,0.0349656546105702
r_match_age,,,:donor_age_group-65p,0.0853810167117903
graft_dcd,,,0:match_abroad-1,0.459745948294639
zero_mismatch,,,1:match_abroad-1,0.168992677401215
