origin,destination,driving_distance,from_center,to_center
"Auenbruggerplatz 29, GRAZ","Auenbruggerplatz 29, GRAZ",0,AGATP,AGATP
"Auenbruggerplatz 29, GRAZ","De Pintelaan 185, GENT",1154.321,AGATP,BGETP
"Auenbruggerplatz 29, GRAZ","Stenglinstrasse 2, AUGSBURG",472.829,AGATP,GAUTP
"Auenbruggerplatz 29, GRAZ","Hufelandstrasse 55, ESSEN",952.387,AGATP,GESTP
"Auenbruggerplatz 29, GRAZ","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",821.091,AGATP,GHSTP
"Auenbruggerplatz 29, GRAZ","Ismaningerstr. 22, MUENCHEN",399.531,AGATP,GMHTP
"Auenbruggerplatz 29, GRAZ","Walter-Koehn-str. 1A, Leipzig",736.265,AGATP,GOSOR
"Auenbruggerplatz 29, GRAZ","Karolina ut 19-21., Budapest",338.586,AGATP,HUNOR
"Auenbruggerplatz 29, GRAZ","Postbus 2060, ROTTERDAM",1160.018,AGATP,NRSTP
"Auenbruggerplatz 29, GRAZ","Anichstrasse 35, INNSBRUCK",463.015,AGATP,AIBTP
"Auenbruggerplatz 29, GRAZ","10, Avenue Hippocrate, Brussels",1096.859,AGATP,BLATP
"Auenbruggerplatz 29, GRAZ","Universitaetsklinik, BOCHUM",943.533,AGATP,GBBTP
"Auenbruggerplatz 29, GRAZ","Pacelli Allee 4, FULDA",697.115,AGATP,GFDTP
"Auenbruggerplatz 29, GRAZ","Lessingstrasse 1, JENA",676.085,AGATP,GJETP
"Auenbruggerplatz 29, GRAZ","Haifa-Allee 2, Mainz",749.263,AGATP,GMIOR
"Auenbruggerplatz 29, GRAZ","Organisationsburo, REGENSBURG",395.2,AGATP,GRBTP
"Auenbruggerplatz 29, GRAZ","4 Rue Barble, LUXEMBOURG",941.603,AGATP,LLXTP
"Auenbruggerplatz 29, GRAZ","Heidelberglaan 100, UTRECHT",1109.846,AGATP,NUTTP
"Auenbruggerplatz 29, GRAZ","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",141.718,AGATP,AKTTP
"Auenbruggerplatz 29, GRAZ","Herestraat 49, LEUVEN",1078.16,AGATP,BLETP
"Auenbruggerplatz 29, GRAZ","Herestraat 49, LEUVEN",1078.16,AGATP,BLMTP
"Auenbruggerplatz 29, GRAZ","Campus Virchow-Klinikum, BERLIN",876.039,AGATP,GBCTP
"Auenbruggerplatz 29, GRAZ","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",713.53,AGATP,GFMTP
"Auenbruggerplatz 29, GRAZ","Arnold-Heller-Strasse 3, KIEL",1191.822,AGATP,GKITP
"Auenbruggerplatz 29, GRAZ","Marchioninistr. 15, Munich",395.075,AGATP,GMLTP
"Auenbruggerplatz 29, GRAZ","Ernst-Heydemann-Strasse 8, ROSTOCK",1078.847,AGATP,GROTP
"Auenbruggerplatz 29, GRAZ","Meibergdreef 9, Amsterdam",1138.174,AGATP,NAETP
"Auenbruggerplatz 29, GRAZ","Zaloska 7, LJUBLJANA",197.782,AGATP,SLOTP
"Auenbruggerplatz 29, GRAZ","Fadingerstrasse 1, LINZ",220.825,AGATP,AOETP
"Auenbruggerplatz 29, GRAZ","Avenue de l Hopital, LIEGE",1024.717,AGATP,BLGTP
"Auenbruggerplatz 29, GRAZ","Hindenburgdamm 30, Berlin",867.931,AGATP,GBETP
"Auenbruggerplatz 29, GRAZ","Hugstetterstrasse 55, FREIBURG IM BREISGAU",809.73,AGATP,GFRTP
"Auenbruggerplatz 29, GRAZ","Joseph  Stelzmannstrasse 9, KOELN",897.718,AGATP,GKKTP
"Auenbruggerplatz 29, GRAZ","Albert Schweitzerstrasse 33, MUENSTER",996.385,AGATP,GMNTP
"Auenbruggerplatz 29, GRAZ","Transplantationszentrum, STUTTGART",619.812,AGATP,GSTTP
"Auenbruggerplatz 29, GRAZ","De Boelelaan 1117, AMSTERDAM",1146.646,AGATP,NAVTP
"Auenbruggerplatz 29, GRAZ","Krankenhausstrasse 9, LINZ",221.988,AGATP,AOLTP
"Auenbruggerplatz 29, GRAZ","Ksaver 200a, Zagreb",192.426,AGATP,CHROR
"Auenbruggerplatz 29, GRAZ","St. Juergenstrasse, BREMEN",1063.848,AGATP,GBMTP
"Auenbruggerplatz 29, GRAZ","Klinikstrasse 36, GIESSEN",769.575,AGATP,GGITP
"Auenbruggerplatz 29, GRAZ","Joseph-Stelzmann-Str. 9, KOELN",897.718,AGATP,GKLTP
"Auenbruggerplatz 29, GRAZ","Baldingerstrasse, MARBURG/LAHN",804.808,AGATP,GMRTP
