origin,destination,driving_time,from_center,to_center
"Auenbruggerplatz 29, GRAZ","Auenbruggerplatz 29, GRAZ",0,AGATP,AGATP
"Auenbruggerplatz 29, GRAZ","De Pintelaan 185, GENT",11.5663888888889,AGATP,BGETP
"Auenbruggerplatz 29, GRAZ","Stenglinstrasse 2, AUGSBURG",5.21361111111111,AGATP,GAUTP
"Auenbruggerplatz 29, GRAZ","Hufelandstrasse 55, ESSEN",9.72305555555556,AGATP,GESTP
"Auenbruggerplatz 29, GRAZ","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",8.57527777777778,AGATP,GHSTP
"Auenbruggerplatz 29, GRAZ","Ismaningerstr. 22, MUENCHEN",4.47277777777778,AGATP,GMHTP
"Auenbruggerplatz 29, GRAZ","Walter-Koehn-str. 1A, Leipzig",7.61472222222222,AGATP,GOSOR
"Auenbruggerplatz 29, GRAZ","Karolina ut 19-21., Budapest",3.68472222222222,AGATP,HUNOR
"Auenbruggerplatz 29, GRAZ","Postbus 2060, ROTTERDAM",11.7355555555556,AGATP,NRSTP
"Auenbruggerplatz 29, GRAZ","Anichstrasse 35, INNSBRUCK",5.28611111111111,AGATP,AIBTP
"Auenbruggerplatz 29, GRAZ","10, Avenue Hippocrate, Brussels",10.9775,AGATP,BLATP
"Auenbruggerplatz 29, GRAZ","Universitaetsklinik, BOCHUM",9.81861111111111,AGATP,GBBTP
"Auenbruggerplatz 29, GRAZ","Pacelli Allee 4, FULDA",7.24861111111111,AGATP,GFDTP
"Auenbruggerplatz 29, GRAZ","Lessingstrasse 1, JENA",7.14611111111111,AGATP,GJETP
"Auenbruggerplatz 29, GRAZ","Haifa-Allee 2, Mainz",7.86972222222222,AGATP,GMIOR
"Auenbruggerplatz 29, GRAZ","Organisationsburo, REGENSBURG",4.36611111111111,AGATP,GRBTP
"Auenbruggerplatz 29, GRAZ","4 Rue Barble, LUXEMBOURG",9.66305555555556,AGATP,LLXTP
"Auenbruggerplatz 29, GRAZ","Heidelberglaan 100, UTRECHT",11.2297222222222,AGATP,NUTTP
"Auenbruggerplatz 29, GRAZ","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",1.72277777777778,AGATP,AKTTP
"Auenbruggerplatz 29, GRAZ","Herestraat 49, LEUVEN",10.7991666666667,AGATP,BLETP
"Auenbruggerplatz 29, GRAZ","Herestraat 49, LEUVEN",10.7991666666667,AGATP,BLMTP
"Auenbruggerplatz 29, GRAZ","Campus Virchow-Klinikum, BERLIN",8.64833333333333,AGATP,GBCTP
"Auenbruggerplatz 29, GRAZ","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",7.63805555555556,AGATP,GFMTP
