"offers_before_rescue","prob","strata"
-1,0.0185185185185185,"Austria"
0,0.0327635327635327,"Austria"
1,0.0507967550340431,"Austria"
2,0.0582512307798491,"Austria"
3,0.0930021078728436,"Austria"
4,0.149395759196812,"Austria"
5,0.24099929282177,"Austria"
6,0.342199387112201,"Austria"
7,0.436170903239029,"Austria"
8,0.458724067109468,"Austria"
9,0.566979253687575,"Austria"
11,0.639149378072979,"Austria"
-1,0.00990099009900991,"Belgium"
0,0.0243024302430243,"Belgium"
1,0.0385017711750384,"Belgium"
2,0.0644144893986899,"Belgium"
3,0.100055842183502,"Belgium"
4,0.163209818170624,"Belgium"
5,0.226763502866526,"Belgium"
6,0.324230288219485,"Belgium"
7,0.43821554080897,"Belgium"
8,0.49683652785499,"Belgium"
9,0.556032230460285,"Belgium"
10,0.614257511711396,"Belgium"
11,0.676810347650088,"Belgium"
12,0.728520692026074,"Belgium"
14,0.788849427131391,"Belgium"
15,0.824041189276159,"Belgium"
17,0.882694126184106,"Belgium"
-1,0.0210084033613446,"Croatia"
0,0.0441176470588236,"Croatia"
1,0.0665561999447667,"Croatia"
2,0.106906796488941,"Croatia"
3,0.168736325962784,"Croatia"
4,0.274164889499211,"Croatia"
5,0.36489427831181,"Croatia"
6,0.480923208235614,"Croatia"
7,0.548335778594625,"Croatia"
8,0.612859238795393,"Croatia"
9,0.639255199786616,"Croatia"
10,0.690790171245671,"Croatia"
11,0.768092628434253,"Croatia"
12,0.781734238526356,"Croatia"
13,0.825387390821085,"Croatia"
14,0.854489492350904,"Croatia"
15,0.912693695410542,"Croatia"
18,0.956346847705271,"Croatia"
-1,0.0164403145103645,"Germany"
0,0.0343102215868477,"Germany"
1,0.0549861992103031,"Germany"
2,0.0831148298004944,"Germany"
3,0.125878644062764,"Germany"
4,0.192171704643053,"Germany"
5,0.303171012402022,"Germany"
6,0.390872601230143,"Germany"
7,0.480572868857211,"Germany"
8,0.571266494929762,"Germany"
9,0.633561106777574,"Germany"
10,0.697289609946692,"Germany"
11,0.759384048931986,"Germany"
12,0.822704036055147,"Germany"
13,0.867028027041361,"Germany"
-1,0.0127591706539075,"Hungary"
0,0.0239234449760766,"Hungary"
1,0.0428596744386218,"Hungary"
2,0.0552900682770813,"Hungary"
3,0.0678527003478648,"Hungary"
4,0.109495019576311,"Hungary"
5,0.167571431343073,"Hungary"
6,0.209454629766063,"Hungary"
7,0.25218681194087,"Hungary"
9,0.266849815628304,"Hungary"
10,0.319217685940568,"Hungary"
11,0.394860165280505,"Hungary"
-1,0.00815850815850816,"Netherlands"
0,0.0337995337995338,"Netherlands"
1,0.0549765303189961,"Netherlands"
2,0.0687294706262039,"Netherlands"
3,0.108293251285875,"Netherlands"
4,0.161795656208722,"Netherlands"
5,0.208735099461034,"Netherlands"
6,0.288863190654853,"Netherlands"
7,0.350701174076171,"Netherlands"
8,0.407161941547808,"Netherlands"
9,0.568845048398406,"Netherlands"
10,0.676633786298804,"Netherlands"
11,0.838316893149402,"Netherlands"
15,1,"Netherlands"
-1,0.0625,"Slovenia"
0,0.0902777777777778,"Slovenia"
1,0.113603988603989,"Slovenia"
2,0.123910918969059,"Slovenia"
4,0.168457821394361,"Slovenia"
5,0.221534981730891,"Slovenia"
6,0.31884310901453,"Slovenia"
7,0.384761517819575,"Slovenia"
8,0.414058588399595,"Slovenia"
9,0.523922603074671,"Slovenia"
13,0.642941952306003,"Slovenia"
14,0.761961301537336,"Slovenia"
